code,lotsize,contract_step,qty_freeze,Sector,Industry,MktCategory,Mcap,IntraSectorRank,NiftyRank,Underlying,symbol_TV,symbol_TV_1
JSWSTEEL,675,10,27000,Non-Energy Minerals,Steel,,,,,JSW STEEL LIMITED                   ,JSWSTEEL,NSE:JSWSTEEL!1
BHARTIARTL,950,10,28500,Communications,Wireless Telecommunications,,,,,BHARTI AIRTEL LIMITED               ,BHARTIARTL,NSE:BHARTIARTL!1
BHEL,5250,2.5,157500,Producer Manufacturing,Electrical Products,,,,,BHEL                                ,BHEL,NSE:BHEL!1
DRREDDY,125,50,3750,Health Technology,Pharmaceuticals: Major,,,,,DR. REDDY S LABORATORIES            ,DRREDDY,NSE:DRREDDY!1
HDFCAMC,300,50,9000,Finance,Investment Managers,,,,,HDFC AMC LIMITED                    ,HDFCAMC,NSE:HDFCAMC!1
HINDPETRO,2700,5,54000,Energy Minerals,Oil Refining/Marketing,,,,,HINDUSTAN PETROLEUM CORP            ,HINDPETRO,NSE:HINDPETRO!1
ICICIBANK,700,10,28000,Finance,Regional Banks,,,,,ICICI BANK LTD.                     ,ICICIBANK,NSE:ICICIBANK!1
INDHOTEL,2000,5,60000,Consumer Services,Hotels/Resorts/Cruise lines,,,,,THE INDIAN HOTELS CO. LTD           ,INDHOTEL,NSE:INDHOTEL!1
SHREECEM,25,250,1000,Non-Energy Minerals,Construction Materials,,,,,SHREE CEMENT LIMITED                ,SHREECEM,NSE:SHREECEM!1
JUBLFOOD,1250,5,50000,Consumer Services,Restaurants,,,,,JUBILANT FOODWORKS LTD              ,JUBLFOOD,NSE:JUBLFOOD!1
MCX,400,50,8000,Finance,Investment Banks/Brokers,,,,,MULTI COMMODITY EXCHANGE            ,MCX,NSE:MCX!1
MGL,800,10,24000,Utilities,Gas Distributors,,,,,MAHANAGAR GAS LTD.                  ,MGL,NSE:MGL!1
TATASTEEL,5500,1,165000,Non-Energy Minerals,Steel,,,,,TATA STEEL LIMITED                  ,TATASTEEL,NSE:TATASTEEL!1
NAVINFLUOR,150,50,6000,Process Industries,Chemicals: Specialty,,,,,NAVIN FLUORINE INT. LTD             ,NAVINFLUOR,NSE:NAVINFLUOR!1
ULTRACEMCO,100,100,3000,Non-Energy Minerals,Construction Materials,,,,,ULTRATECH CEMENT LIMITED            ,ULTRACEMCO,NSE:ULTRACEMCO!1
PIIND,250,50,7500,Process Industries,Chemicals: Specialty,,,,,PI INDUSTRIES LTD                   ,PIIND,NSE:PIIND!1
SYNGENE,1000,10,30000,Commercial Services,Miscellaneous Commercial Services,,,,,SYNGENE INTERNATIONAL LTD           ,SYNGENE,NSE:SYNGENE!1
TECHM,600,10,18000,Technology Services,Information Technology Services,,,,,TECH MAHINDRA LIMITED               ,TECHM,NSE:TECHM!1
UPL,1300,5,39000,Process Industries,Chemicals: Agricultural,,,,,UPL LIMITED                         ,UPL,NSE:UPL!1
HINDALCO,1400,5,42000,Non-Energy Minerals,Other Metals/Minerals,,,,,HINDALCO  INDUSTRIES  LTD           ,HINDALCO,NSE:HINDALCO!1
JKCEMENT,250,50,7500,Non-Energy Minerals,Construction Materials,,,,,JK CEMENT LIMITED                   ,JKCEMENT,NSE:JKCEMENT!1
HAL,300,20,9000,Electronic Technology,Aerospace & Defense,,,,,HINDUSTAN AERONAUTICS LTD           ,HAL,NSE:HAL!1
DIVISLAB,200,50,6000,Health Technology,Pharmaceuticals: Major,,,,,DIVI S LABORATORIES LTD             ,DIVISLAB,NSE:DIVISLAB!1
ESCORTS,275,50,8250,Producer Manufacturing,Auto Parts: OEM,,,,,ESCORTS KUBOTA LIMITED              ,ESCORTS,NSE:ESCORTS!1
POWERGRID,3600,2.5,108000,Utilities,Alternative Power Generation,,,,,POWER GRID CORP. LTD.               ,POWERGRID,NSE:POWERGRID!1
VOLTAS,600,10,24000,Producer Manufacturing,Industrial Machinery,,,,,VOLTAS LTD                          ,VOLTAS,NSE:VOLTAS!1
ATUL,75,50,3750,Process Industries,Chemicals: Agricultural,,,,,ATUL LTD                            ,ATUL,NSE:ATUL!1
HEROMOTOCO,300,50,6000,Consumer Durables,Motor Vehicles,,,,,HERO MOTOCORP LIMITED               ,HEROMOTOCO,NSE:HEROMOTOCO!1
ICICIGI,500,20,15000,Finance,Specialty Insurance,,,,,ICICI LOMBARD GIC LIMITED           ,ICICIGI,NSE:ICICIGI!1
ONGC,3850,2.5,115500,Energy Minerals,Oil Refining/Marketing,,,,,OIL AND NATURAL GAS CORP.           ,ONGC,NSE:ONGC!1
PETRONET,3000,2.5,120000,Utilities,Gas Distributors,,,,,PETRONET LNG LIMITED                ,PETRONET,NSE:PETRONET!1
VEDL,2300,2.5,92000,Non-Energy Minerals,Aluminum,,,,,VEDANTA LIMITED                     ,VEDL,NSE:VEDL!1
